Chapter,Word Count
Proverbs 30,629
Jeremiah 35,630
1 Samuel 24,632
Genesis 25,632
1 Corinthians 10,633
Revelation 19,633
Exodus 2,633
Esther 8,634
2 Corinthians 12,634
Deuteronomy 24,634
Job 38,635
Exodus 13,636
Genesis 4,636
Jeremiah 20,636
Acts 1,637
Numbers 24,637
Ephesians 4,638
Acts 11,639
Mark 3,640
Joshua 18,641
Judges 14,641
Leviticus 9,641
Isaiah 60,641
Nehemiah 4,642
Job 1,642
Matthew 11,643
2 Chronicles 7,643
Exodus 7,643
Isaiah 7,643
Matthew 16,644
2 Samuel 1,645
Leviticus 10,645
Ruth 1,648
Revelation 14,648
Deuteronomy 15,648
Genesis 17,648
Nehemiah 8,649
Numbers 8,649
Isaiah 42,650
Ezekiel 26,650
Philippians 2,651
Judges 21,651
John 17,651
2 Chronicles 31,651
Ezekiel 29,651
Jeremiah 37,652
Acts 12,654
Nehemiah 5,655
1 Samuel 19,655
Exodus 6,655
Isaiah 22,655
1 Samuel 16,656
Deuteronomy 21,656
2 Corinthians 1,657
2 Samuel 16,657
2 Chronicles 36,660
Isaiah 19,660
Psalms 37,660
Obadiah 1,661
Jude 1,661
1 Corinthians 1,661
Genesis 50,662
1 Corinthians 9,663
2 Kings 13,663
Exodus 37,664
Jeremiah 12,664
Numbers 13,665
1 Samuel 4,666
Exodus 33,666
Galatians 3,667
1 Kings 19,667
Isaiah 36,667
Philippians 1,668
Colossians 1,669
Ezekiel 11,669
Galatians 4,670
Mark 2,670
Matthew 19,670
Acts 18,670
Nehemiah 10,671
2 Kings 21,671
1 Samuel 13,671
Matthew 14,672
Ezekiel 47,675
Zechariah 8,676
Nehemiah 2,676
1 Kings 4,676
Psalms 68,676
Judges 4,677
Judges 13,679
1 Chronicles 26,679
Numbers 9,679
Jeremiah 18,679
Exodus 15,680
Hebrews 12,682
Revelation 3,682
Joshua 9,682
Exodus 19,682
Numbers 19,684
Psalms 107,684
2 Kings 11,685
Genesis 3,685
Amos 5,686
Isaiah 29,686
Genesis 45,686
Genesis 46,687
Ezekiel 38,688
Ezekiel 13,689
Ezra 4,693
Isaiah 43,693
Ezekiel 30,695
1 Chronicles 7,699
Zechariah 14,700
Romans 1,700
Mark 11,702
Joshua 2,702
Hosea 2,703
John 21,703
2 Chronicles 23,703
Exodus 18,703
Jeremiah 40,703
1 Chronicles 27,706
1 Kings 9,707
1 Samuel 22,707
Genesis 49,708
Psalms 106,709
1 Kings 10,710
Matthew 8,711
Hebrews 9,713
1 Chronicles 17,713
2 Chronicles 33,714
Exodus 3,717
Mark 7,718
Luke 15,718
Joshua 13,719
Job 31,719
Matthew 20,719
Isaiah 51,719
Esther 1,721
Revelation 21,721
Ezekiel 1,722
Jeremiah 42,723
Leviticus 18,724
Ezekiel 17,724
Ezekiel 28,724
Romans 9,725
Genesis 21,726
Ezekiel 24,727
Numbers 6,728
Ecclesiastes 2,730
Matthew 6,733
Matthew 15,733
Acts 25,733
Nehemiah 11,734
Ruth 2,735
John 14,735
1 Corinthians 11,736
Deuteronomy 33,737
Numbers 23,738
Exodus 35,738
Genesis 1,738
Genesis 34,738
2 Samuel 11,740
2 Samuel 21,741
Jeremiah 16,741
John 20,742
Romans 15,743
1 Samuel 6,743
Ezekiel 7,745
1 Samuel 28,746
Genesis 32,746
Judges 3,747
2 Kings 3,747
2 Chronicles 28,747
Ezekiel 41,747
Ezra 6,748
1 Kings 3,748
Luke 17,748
Jeremiah 30,748
Numbers 20,749
Luke 16,751
Isaiah 40,751
1 Samuel 12,753
Joshua 19,754
Jeremiah 10,754
2 Kings 2,755
Ezekiel 14,756
Joshua 6,757
2 Samuel 24,757
Leviticus 5,757
Mark 13,758
Isaiah 1,759
1 Samuel 1,760
Genesis 38,760
2 Chronicles 30,761
Acts 22,761
Isaiah 41,761
Deuteronomy 7,762
Judges 5,763
1 Samuel 23,764
2 Kings 7,765
Deuteronomy 29,766
Ezekiel 12,767
Ezekiel 27,767
1 Chronicles 4,771
Revelation 18,772
Luke 21,772
2 Samuel 7,773
1 Chronicles 16,774
1 Chronicles 28,774
1 Kings 21,774
1 Samuel 18,774
Jeremiah 14,774
Isaiah 28,778
2 Corinthians 11,780
Ezra 2,780
2 Chronicles 35,781
Isaiah 45,781
Ezekiel 3,782
Mark 8,783
2 Kings 14,783
Jeremiah 34,783
Joshua 7,784
Numbers 28,784
Exodus 38,785
1 Chronicles 2,787
2 Chronicles 9,787
Acts 28,787
1 John 2,789
Romans 11,789
Ezekiel 22,789
Exodus 22,791
Ezekiel 43,792
Genesis 36,793
1 Chronicles 29,795
2 Samuel 20,795
Isaiah 65,795
Matthew 9,796
1 Samuel 26,796
Jeremiah 8,797
1 Chronicles 21,798
Matthew 22,798
2 Chronicles 24,799
Matthew 18,800
Deuteronomy 3,800
Isaiah 66,801
John 3,802
